,PropertyType,Address,City,State,ZipCode,Price,Beds,Baths,Living_Sq_Ft,Lot_Acres,YearBuilt,YearRenovated,Hoa/Month,Parking,Garage,ElementarySchool,E.SchoolRating,MiddleSchool,M.schoolRating,HighSchool,H.SchoolRating,Heating,Cooling,WalkableScore,TransitScore,BikeableScore,RedfinEstimate,Status,MLS Listing,Description,payment_per_month
house_10,Mobile/Manufactured Home,165 Blossom Hl #12 ,SAN JOSE,CA,95123,289900,3,2," 1,440",,—,—,0,,,Anderson (alex) Elementary School,4,,,Oak Grove High School,6, Central Forced Air, Central Forced Air,55,37,62," $288,107",Active,81784479,"Beautiful 3 bedroom, 2 baths manufactured home located in the lovely community of Magic Sands. This is a manufactured home with approximately 1,440  Sq. ft living space and offers A/C. This home features a spacious kitchen, nice living room spacious for entertaining. All bedrooms are nice size. The master bedroom has a nice walk-in closet. The master bathroom has his and her sinks. Extra feature include a storage in the backyard, The home is conveniently located close to Freeway 101, 85, 87, Kaiser Hospital, Lowes, Target, Costco. Close to many restuarants. VTA Cottle station located just down the street. Very convenient public transportation routes. Buyer to verify any and all information.  ","$1,445"
house_11,Single Family Residential,2685 Autumnvale Dr ,SAN JOSE,CA,95132,990000,3,1," 1,248", 0.0933,1973,1973,12,, 2,Northwood Elementary School,9,Morrill Middle School,6,Independence High School,6, Central Forced Air (Gas), Central Forced Air,55,51,61," $1,001,510",Active,81784501,"You'll love this beautifully updated two story single family house in the Northwood Elementary School attendance area! Updated kitchen and bathrooms. 2 car garage. Nicely huge back yard with fruit trees, good for whole family entertainment. Short walk to Award Winning Northwood Elementary School, Northwood Park Berryessa VTA  &  new bart station. Close to Ranch 99, Great Mall, Costco. Easy access to HWY 680, 880, 237. You will Love it !! Come to Enjoy it !! Move-in Ready! ","$4,948"
house_12,Condo/Co-op,430 Navaro Pl #121 ,SAN JOSE,CA,95134,699000,1,1, 948, 0.4056,1991,1991,313,, 1,Montague Elementary School,4,Buchser Middle School,5,Santa Clara High School,8, Central Forced Air, Central Forced Air,41,38,74," $698,852",Active,81784368,"Welcome to Villagio at River Oaks!  Centrally located to shopping, dining, highways for the commuter and walking trails. Light and bright open floor plan with neutral colors, 1 bedroom, full bath and study/office space, living room with private balcony, Kitchen with new stainless steel refrigerator, cooktop/oven, built in microwave, trash compactor and recessed lighting, spacious bedroom with plenty of storage space, inside laundry, 1 car garage, community pool and spa and much more! ","$3,798"
house_13,Single Family Residential,60 Rice St ,San Francisco,CA,94112,999000,2,1,1200,,1927,—,0, 1, 1,George Washington Elementary School,3,Thomas R. Pollicita Middle School,4,Oceana High School,7, Central Heating, Central Heating,81,77,55," $1,151,173",Active,494791,"Great Location!  Welcome Home! Fabulous completely remodeled home in the heart of San Francisco. This home features a modern open floor plan with hardwood floors and recessed lighting. Newly remodeled upstairs 2 Bedrooms  &  1 Bath, Living Room, Kitchen, Dining Room  &  Laundry area with beautiful hardwood floors. Updated kitchen with granite counter top, New stainless appliances - Samsung Refrigerator, standing stove with oven and microwave. Everything new upstairs (bathroom, floors, paint, kitchen, doors, windows). Most of the plumbing and electrical inside the house is new. Furnace and ductwork also brand new. New interior and exterior paint. Also, plans already fully approved by the city for buyers to convert the downstairs area into 2 legal bedrooms, 1 Bath and laundry area. Seller did not remodel downstairs. Big backyard. Property is located near SF State University, Daly City BART, Public transportation, Freeway, schools, hospitals, restaurants, Shopping Center, Starbucks  &  more.  ","$5,013"
house_14,Single Family Residential,42651 Fern Cir ,FREMONT,CA,94538,1399950,3,2," 1,375", 0.1194,1987,1987,120,, 2,Harvey Green Elementary School,8,,,Irvington High School,9," Central Forced Air, Central Forced Air (Gas), Fireplace, Radiant Floors", Ceiling Fan,51,32,48," $1,379,793",Active,81781789,"Huge Price Reduction. Well-Maintained and Lovely Corner Lot Home in Parkgate Complex. Approx. 1,375 Sq. Ft. Living Plus Enclosed Patio 176 Sq Ft With Permit. Great Neighborhood and Award Winning  Irvington School District. Best Floor Plan - Bright, Open  &  Airy. High-Quality Laminated Flooring and New Large Dual Pane Windows, New Doors Thru-Out. Spacious Living Room With High Ceiling. Brick Fireplace With Mantel. Enclosed Patio with Electric Radiant Floor Heat and Ceiling Fan. More Windows-Natural Sun Light. Gourmet Kitchen- Granite Counter Top. Stainless Steel Appliances- Electric Cook Range/Dishwasher/Wood Cabinets/Plantation Shutter. .Large Closet. Upgraded Carpet. Elegant Stairway Overlook the Living Area. Comfortable Master Suite with Two Mirror Closets. Other 2 Good Size Bedrooms. Maintenance and Nice Landscape Backyard. Deck and Beautiful Pavers with Light. Storage Room and Shed. Move In Condition. Easy Access to Freeway 680/880/Bart /Costco, Pacific Commons Shopping Center etc. This is A+. Don't Miss ","$7,087"
house_15,Condo/Co-op,1540 Lombard St Unit L ,San Francisco,CA,94123,995000,2,1,—,,1947,—,655,, 1,Sherman Elementary School,7,Marina Middle School,6,Gateway High School,7,,,97,88,90," $1,060,099",Active,495141,"This top floor condo is perfectly placed on the QUIET rear side of the building. Step inside this 2 bed, 1 bath condo to an open floor plan complete with wood floors. Enter into a spacious living/dining area with views of Golden Gate Bridge, a gourmet open kitchen with stainless steel appliances and room for bar seating. Large windows, complete with plantation shutters, and a secluded patio off the living/dining area is ideal for Al fresco dining. There are two ample sized bedrooms (one with direct access to the private patio), new carpeting and a remodeled bathroom. An in unit washer/dryer, radiant floor heating, intercom, storage closet, designated parking spot and access to a shared roof deck with Panoramic views. Not on a liquefaction zone, this condo is located near the trendy shops/restaurants/nightlife on Union and Chestnut Streets. Convenient access to 101 North, Muni and tech shuttles.  ","$5,648"
house_16,Townhouse,2627 Heritage Park Cir ,SAN JOSE,CA,95132,850000,2,2," 1,670", 0.048,1988,1988,425,, 2,Cherrywood Elementary School,6,Sierramont Middle School,7,Independence High School,6, Central Forced Air (Gas), Central Forced Air,44,48,54," $855,958",Active,81783682,"Well maintained huge (1,670 Sq. Ft. ) North San Jose townhouse priced to sell. It is a quiet home with a large private backyard. Open modern living area features elegant interior, soaring ceilings, huge  &  dual-paned windows, hardwood floor, central A/C  &  heating, indoor laundry, and 2-car garage. Gourmet renovated kitchen w/ breakfast bar. Spacious living room includes a wood burn fireplace, and sliding glass door out to a relaxing  &  private backyard. Upstairs features a spacious  &  bright loft area that can be used as an office. Oversized master suite w/ walk-in closet and large bathroom with separate shower  &  tub. Cozy community w/ pools, plenty of guest parking, and well-maintained landscaping. Walk to Cherrywood Elementary School, Light Rail, .etc. Close to major freeways (880, 680  &  237), high tech companies, and regional arterials. Buyer to verify schools. Perfect entry-level home for the working professional or small family. Motivated seller! Don't miss this opportunity.  ","$4,663"
house_17,Single Family Residential,636 Smoke Tree Way ,SUNNYVALE,CA,94086,1788000,3,2," 1,685", 0.1525,1971,1971,0, 2, 2,Ponderosa Elementary School,7,Marian A. Peterson Middle School,7,Adrian Wilcox High School,7, Central Forced Air (Gas), Central Forced Air,33,37,71," $1,953,050",Active,81783189,"Beautiful home in quiet tree lined neighborhood. Spacious Rooms and Vaulted Ceiling. Separate Family and Dining rooms. Updated Kitchen and Bathrooms. Hardwood floors, new carpet, and fresh paint. New roof. Duo-pane windows and air-conditioning. Walking distance to Ponderosa Elementary School and Ponderosa Park. Close proximity to Apple Campus, Adobe Campus, and Transportation. Ready to move into.  ","$8,886"
house_18,Single Family Residential,5569 Del Oro Pl ,SAN JOSE,CA,95124,1680000,4,3," 2,417", 0.2108,1968,1968,0,, 2,Noddin Elementary School,7,Union Middle School,9,Leigh High School,9, Central Forced Air, Central Forced Air,42,23,53," $1,840,346",Active,81783987,"Welcome to this very special turn-key 4 Bedroom, 3 Bathroom home located on a cul-de-sac with excellent nearby schools. Enjoy a stunning, bright, updated kitchen with custom cabinetry, soft-close drawers, leathered granite countertops, stylish tile backsplash, stainless-steel appliances and access to a beautiful deck. Elegant dining and living rooms enhanced by Bay windows. Separate family room with brick fireplace and French doors. A double-door entry to a spacious Master suite with roomy sitting area and extra storage. Master bathroom features dual sink vanity and 2 closets. A sprawling entertainment backyard with sparkling pool, arbor seating, firepit, storage shed, and delightful fruit trees. Desirable touches such as a bed/bath downstairs, formal foyer, skylight, central heat, A/C, copper piping, dual pane windows, window coverings, recessed lighting, hardwood floors, updated carpet, 6-panel interior doors, attached 2-car garage, updated electrical panel, and solar. Come visit! ","$8,377"
house_19,—,1075 Space Park Way #198 ,MOUNTAIN VIEW,CA,94043,0,3,2," 1,750",,Santa Clara County,116-14-129,0, 1,,Monta Loma Elementary School,6,Crittenden Middle School,6,Mountain View High School,9," Central Forced Air, Gas"," Ceiling Fan, Central Forced Air",14,32,71,291964,Sold,81776735,"Can we talk?? Where in Mountain View can you buy a 3 bedroom, 2 bath 1750 sqft home for under $300,000? No where!! This 5 year new mobile home offers a modern kitchen and spacious living and dining area - perfect for entertaining (abundant guest parking across the street - so, party on). Close to clubhouse, office and pool. Located in the rear of the park = very quiet. Note PG & E lines and tower are close by. Walking/biking distance to Stevens Creek trail, Great America, Levi Stadium, and Shoreline Ampitheatre, so why try to drive? Home is lived in with 2 small children and working on de-cluttering (rain is NOT helping). Some minor TLC needed. Seller bikes to work. Don't miss this affordable alternative Mountain View location!! ",
house_20,Townhouse,10883 Northfield Sq ,CUPERTINO,CA,95014,1288000,2,2," 1,142", 0.031,1973,1973,406,, 2,L. P. Collins Elementary School,9,Cupertino Middle School,8,Fremont High School,8, Central Forced Air (Gas), Central Forced Air,53,37,71," $1,272,921",Active,81784156,"Rare Cupertino Townhouse in highly desired North Point Community. Perfectly located end unit, away from major street and freeway noise. Best location in the complex! Exceptional  split level remodel, open  floor plan, Abundance of natural light. Spacious living room with vaulted ceilings. Recessed lighting, laminate flooring, double pane windows throughout. Chefs kitchen, custom cabinets, granite counters, stainless appliances, abundant storage. Large picture window has been added to the dining room for even more light. Master suite with private balcony, vaulted ceilings, closet organizer, updated bath. New hall bath, soaking tub. Bonus 3rd bedroom, with window skylights and large closets for storage. .2 car garage, central A/C, private patio. Cupertino schools, Walking distance to both Apple Park and Apple Infinite Loop campuses. Easy access to freeways, minutes to Google and Face Book. great amenities including 2 swimming pools, 2 playgrounds, tennis courts, a gym and clubhouse.  ","$6,807"
house_21,Multi-Family (2-4 Unit),2978 Folsom St ,San Francisco,CA,94110,1395000,2,2,1450,,—,—,403,, 1,Daniel Webster Elementary School,5,Everett Middle School,3,Mission High School,1,,,96,84,88,,Active,495452,"Located in the heart of the sunny Inner Mission's Calle 24 Cultural District, San Francisco's historic multicultural wonderland, where you can experience world-famous murals, award-winning eateries, top-ranked cocktail bars  &  artisanal coffee shops. 2978 Folsom is a restored, updated and turnkey Italianate Victorian condo with vintage details including 12.5' ceilings, marble fireplaces, and stunning original molding. Featuring 2BR/2BA, a grand living room with floor to ceiling bookcases and handsome bay windows, a cozy family room, office and massive eat-in/live in kitchen. Walk out to the enchanting south facing garden and patio that spans across the full length of the lot with fruit bearing trees. Ultra-convenient with in-home laundry, 1 car parking, ample storage and minutes to tech shuttles, freeway and some of the City's best eclectic and engaging dining.  ","$7,404"
house_22,,Residence Four ,Milpitas,CA,95035,820000,2,2,1186,,,,0,,,Alexander Rose Elementary School,6,Rancho Milpitas Middle School,7,Milpitas High School,10,,,64,60,81,,Active,,"Plan Description: This plan showcases an upscale kitchen with island that extends to a family room and outside to the balcony, so you can entertain effortlessly. . It also provides two bedrooms – one spacious secondary bedroom with a walk-in closet and the sophisticated master bedroom, which boasts a walk-in closet and beautiful bathroom with dual sinks.  ","$4,081"
house_23,Single Family Residential,1023 Forest Ave ,PALO ALTO,CA,94301,5488000,4,3," 4,516", 0.2292,1900,1900,0, 2,,Addison Elementary School,8,David Starr Jordan Middle School,8,Palo Alto High School,9, Central Forced Air, Central Forced Air,48,40,77," $5,379,778",Active,81779795,"The grace and elegance of the Victorian era blend seamlessly with the very best of modern amenities in this stunning Queen Anne Victorian home, an architectural masterpiece in prestigious Crescent Park. Boasting 4 bedrooms and 3.5 baths on 4,516 sq. ft. of living space (per independent third party measurement) on a 9,984 sq. ft. lot (per county), this home affords a rare opportunity to own a piece of Bay Area history while still enjoying a contemporary lifestyle. Alluring appointments such as coved and coffered ceilings, antique windows, and embossed wall coverings whisk you away to a bygone era, while the brilliant kitchen, updated baths, and superb master suite are firmly rooted in the present. Third-level bonus space includes a kitchen and bath, offering flexible use for a variety of household needs. Adding the finishing touch, this home enjoys a location close to the excitement of downtown Palo Alto, and provides access to top-rated Palo Alto schools (buyer to verify eligibility).  ","$27,331"
house_24,Mobile/Manufactured Home,28339 Murcia St ,Hayward,CA,94544,228000,3,2,1205,,2007,—,0,,,Palma Ceia Elementary School,4,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,44,31,51," $223,529",Active,40872715,"Find great value in this 3 bedrooms - 2 full bathrooms. Easy to clean hardwood laminate flooring in an open layout Living/Dining Kitchen combination. Solid corian counter tops, breakfast Bar and area in the kitchen. Good size bedrooms, walk-in closet in the master bedroom. Inside laundry area. Save money on electric with skylight in bathroom. Newly paved carport area. Extra wide carport awning. Newly repaired roof. Motivated Seller, new reduced price! ","$1,130"
house_25,,210 Span Ct ,Hayward,CA,94544,759990,2,2,1718,,,,0,,,Treeview Elementary,2,Cesar Chavez Middle School,2,Tennyson High School,2,,,60,52,39," $761,059",Active,,"Homesite 293 features a flexible downstairs den that can be converted into a home office or additional bedroom, a deck adjacent to the great room, and large island and walk-in pantry at the kitchen. .  Both master and secondary bedrooms have attached full baths for added privacy. Appliances include stainless steel gas range with convection oven, microwave/hood combination and dishwasher. Built-in energy savers include recessed LED light fixtures, Low-E glass windows, tankless water heater, and wi-fi thermostats. The home is fully upgraded with designer options including dark shaker cabinets, upgraded flooring, granite countertops, full height white subway tile kitchen backsplash and more.  ","$3,766"
house_26,Single Family Residential,749 WILLOW GLEN Way ,SAN JOSE,CA,95125,1449000,4,3," 2,154", 0.1595,1947,1947,0,, 2,Ernesto Galarza Elementary School,2,Willow Glen Middle School,5,Willow Glen High School,7, Forced Air, Central Forced Air,66,35,79," $1,476,470",Active,81784138,"Beautiful home that is all on one level and close to downtown Willow Glen. The family room offers beautiful detail in the vaulted ceilings with accent lighting and cozy fireplace. The kitchen has a tray ceiling, granite slab counters, large sink and separate prep sink, recessed lighting, stainless steel appliances, gas stove and an informal dining space. Warm tones in the hardwood is found through the majority of the home as well as dual pane windows and central A/C. There is a large finished basement with space for wine and entertaining. The spacious bedrooms offer large closets and there are two suites that are perfect for guests and family. Must see finished garage has 220V for an electric vehicle and is plumbed with hot and cold water and a drain line making it possible to add an ADU. Low maintenance yards with shed for extra storage. Easy access to freeways and shopping and the new proposed Google campus.  ","$7,225"
house_27,Single Family Residential,191 Judson Ave ,SAN FRANCISCO,CA,94112,998000,2,1, 965, 0.0574,1925,—,0,, 1,Glen Park Elementary School,3,Aptos Middle School,6,Balboa High School,6, Central Forced Air (Gas),,81,88,58," $1,213,336",Active,81782937,"This wonderfully located and charming Sunnyside Home is within walking distance to City College and all that the newly revamped Ocean Ave has to offer. This home has tons of natural light coming from multiple skylights/tubes and consists of 2 bedrooms, 1 bathroom, a Formal Living Room with Fireplace and views of Sutro Tower, a Formal Dining Room and a Large Kitchen with hardwood flooring, Tile Counters plus a Gas Range with Copper Hood. There are French Doors off one of the Bedrooms to a good sized deck and stairs to the yard plus a large garage with a Bonus Master Suite and additional room.  ","$5,008"
house_28,Single Family Residential,412 Starlite Ct ,MILPITAS,CA,95035,1149777,5,3," 1,676", 0.1062,1970,1970,20,, 2,Pearl Zanker Elementary School,7,Rancho Milpitas Middle School,7,Milpitas High School,10, Forced Air, Other (See Remarks),30,53,63," $1,146,640",Active,81784585,"This gem is conveniently situated in the heart of Silicon Valley. Close to high-tech companies, shopping centers, schools, parks and public transportation such as the light rail and the newly-built Milpitas BART, it also has easy access to all major interstates. This corner-lot home features five bedrooms, including two master bedrooms, three full baths and several fruit trees in its spacious yard: lemon, persimmon, tangerine, and pear. The house also has a nicely designed kitchen complete with granite countertops and stainless steel appliances. Don't miss it. welcome home! Open Saturday  &  Sunday 1-4 ","$5,742"
house_29,,44899 Challenge Cmn Unit 303 ,Fremont,CA,94538,956092,3,2,1479,,,,0,,,E. M. Grimmer Elementary School,8,,,John F. Kennedy High School,7,,,36,49,62," $940,520",Active,,"Open Concept Living  Kitchen Island with Seating  , Spacious Outdoor Deck  Walk-In-Closet in Master  , Single Level Home  In-Home Laundry Room ","$4,744"
house_30,Single Family Residential,3306 San Carlos Way ,Union City,CA,94587,935000,3,2,1306,,1977,1978,0,, 2,Alvarado Elementary School,7,Cesar Chavez Middle School,3,James Logan High School,7,,,,,," $887,995",Back On Market,40887204,"The 3 bedroom 2 bath ranch style home in the heart of UC. Luxury plank floors, white kitchen cabinetry with gold hardware.  Stainless steel appliances, intricate crown moldings, new landscaping, a shed, large front yard to a low maintenance back patio.  AC, tank-less water heater, nest ... not one detail was spared! Located blocks away from UC Landing, Union Square Market Place, shopping centers & restaurants. Prime location close to bart, Facebook, Google, 880, 84 Dumbarton & central to East Bay or Silicon Valley commuters. ","$4,666"
house_31,Single Family Residential,3043 20th Ave ,San Francisco,CA,94132,1788000,3,1,2042,,1938,—,0, 2, 2,Key (francis Scott) Elementary School,9,Everett Middle School,3,Lincoln (abraham) High School,7,,,85,78,70,,Active,495250,"Spacious, fully-detached home located in the prime Merced Manor neighborhood. This 3 bedroom/2 bathroom home features on the main/upper level 2 bedrooms and 1 full bathroom, formal living room, formal dining room, kitchen, and breakfast room. The 3rd bedroom, 2nd bathroom, 2-car garage parking, and large storage area are on the lower level. The garage door, driveway, and backyard are at the back of the house where there is an alley. Enter/exit/access the alley via Ocean Ave or Eucalyptus Dr. On the lower level, there is a separate entrance at the side of the house in addition to the door that leads to the backyard. Easy access to highways 280 and 101. Short walking distance to Stonestown Galleria mall (Trader Joe's, Target, upcoming Whole Foods, Sunday farmers market). Walking distance to #28 bus line stops, streetcar K and M lines' stops, Stern Grove, Lowell High School, San Francisco State University. Nearby: Taraval Safeway, Lakeshore Lucky Supermarket, Lake Merced, Harding Park.  ","$8,973"
house_32,,Residence 5 ,Fremont,CA,94536,862880,2,2,1283,,,,0,,,Parkmont Elementary School,8,,,Washington High School,9,,,80,41,62,,Active,,Plan Description: Spacious Corner Two Bedroom home with a large Great room. .  Plenty of windows and natural light.  ,"$4,281"
house_33,1954,950 W Iowa Ave ,SUNNYVALE,CA,94086,0,3,2," 1,928", 0.1451,Santa Clara County,16508027,0, 2, 1,Cumberland Elementary School,9,Sunnyvale Middle School,6,Homestead High School,9, Central Forced Air (Gas)," Ceiling Fan, Central Forced Air",74,46,87,1924188,Sold,81775365,"Great Light Shining Through. Fresh Paint In  &  Out. Double Pane Windows. Hardwood Floors. Finished basement. Family Room With Wide Plank Laminate. Living Room  &  Family Fireplaces. Master Suite With Sunken Tub. Air Conditioning. A Few Blocks From Washington Park. Convenient To Downtown Sunnyvale, Google. Linkedin  &  Apple.  ","$8,975"
house_34,Single Family Residential,3260 Clovewood Ln ,SAN JOSE,CA,95132,1079950,3,2," 1,433", 0.139,1986,1986,32,, 2,Laneview Elementary School,7,Morrill Middle School,6,Independence High School,6, Central Forced Air,,59,39,58," $1,193,343",Active,81784004,"Wonderfully remodeled home in a great neighborhood. Located close to the new BART station and the Great Mall. . Some of the many features of the home are an open floor plan, Huge living room with vaulted ceilings, Large beautiful Kitchen with Quartz counters and Stainless appliances, Dining room with wet bar. Owners will be members of the neighborhood swim club.  ","$5,417"
house_35,,37301 Maple St ,Fremont,CA,94536,941332,3,3,1774,,,,0,,,Oliveira Elementary School,7,,,American High School,10,,,85,42,55," $937,166",Active,,"Featuring an open floor plan with modern detail upgrades, this Plan 2 is yours to have!. This tri-level home boasts upgraded Whirlpool appliances, espresso cabinetry, and light countertops in the kitchen. End home ready for immediate move in.  ","$4,670"
